Bundesland,GERICHTSBEZEICHNUNG,ECLI-GERICHTSCODE
Niedersachsen,Amtsgericht Walsrode,AGWALSR
Niedersachsen,Amtsgericht Wennigsen (Deister),AGWENNG
Niedersachsen,Amtsgericht Wennigsen,AGWENNG
Niedersachsen,Amtsgericht Westerstede,AGWESTS
Niedersachsen,Amtsgericht Wildeshausen,AGWILDH
Niedersachsen,Amtsgericht Wilhelmshaven,AGWILHV
Niedersachsen,Amtsgericht Winsen (Luhe),AGWINSN
Niedersachsen,Amtsgericht Winsen,AGWINSN
Niedersachsen,Amtsgericht Wittmund,AGWITTM
Niedersachsen,Amtsgericht Wolfenbüttel,AGWOBUE
Niedersachsen,Amtsgericht Wolfsburg,AGWOLFB
Niedersachsen,Amtsgericht Zeven,AGZEVEN
Niedersachsen,Anwaltsgericht Braunschweig,AWGBS
Niedersachsen,Anwaltsgericht Celle,AWGCE
Niedersachsen,Anwaltsgericht Oldenburg,AWGOL
Niedersachsen,Arbeitsgericht Braunschweig,ARBGBS
Niedersachsen,Arbeitsgericht Celle,ARBGCE
Niedersachsen,Arbeitsgericht Emden,ARBGEMD
Niedersachsen,Arbeitsgericht Göttingen,ARBGGOE
Niedersachsen,Arbeitsgericht Hameln,ARBGHM
Niedersachsen,Arbeitsgericht Hannover,ARBGHAN
Niedersachsen,Arbeitsgericht Hildesheim,ARBGHIL
Niedersachsen,Arbeitsgericht Lingen (Ems),ARBGLIN
Niedersachsen,Arbeitsgericht Lingen,ARBGLIN
Niedersachsen,Arbeitsgericht Lüneburg,ARBGLG
Niedersachsen,Arbeitsgericht Nienburg (Weser),ARBGNIE
Niedersachsen,Arbeitsgericht Nienburg,ARBGNIE
Niedersachsen,Arbeitsgericht Oldenburg (Oldenburg),ARBGOLD
Niedersachsen,Arbeitsgericht Osnabrück,ARBGOSN
Niedersachsen,Arbeitsgericht Stade,ARBGSTD
Niedersachsen,Arbeitsgericht Verden (Aller),ARBGVER
Niedersachsen,Arbeitsgericht Verden,ARBGVER
Niedersachsen,Arbeitsgericht Wilhelmshaven,ARBGWHV
Niedersachsen,Landesarbeitsgericht Niedersachsen,LAGNI
Niedersachsen,Landessozialgericht Niedersachsen-Bremen,LSGNIHB
Niedersachsen,Landessozialgericht für das Land Niedersachsen,LSGNIHB
Niedersachsen,Landgericht Aurich,LGAURIC
Niedersachsen,Landgericht Braunschweig,LGBRAUN
Niedersachsen,Landgericht Bückeburg,LGBUECK
Niedersachsen,Landgericht Göttingen,LGGOETT
Niedersachsen,Landgericht Hannover,LGHANNO
Niedersachsen,Landgericht Hildesheim,LGHILDE
Niedersachsen,Landgericht Lüneburg,LGLUENE
Niedersachsen,Landgericht Oldenburg (Oldenburg),LGOLDBG
Niedersachsen,Landgericht Osnabrück,LGOSNAB
Niedersachsen,Landgericht Stade,LGSTADE
Niedersachsen,Landgericht Verden (Aller),LGVERDN
Niedersachsen,Landgericht Verden,LGVERDN
Niedersachsen,Niedersächsischer Anwaltsgerichtshof,AWGHNI
Niedersachsen,Anwaltsgerichtshof Celle,AWGHNI
Niedersachsen,Niedersächsischer Staatsgerichtshof,STGHNI
Niedersachsen,Niedersächsisches Finanzgericht,FGNI
Niedersachsen,Finanzgericht Niedersachsen,FGNI
Niedersachsen,Niedersächsisches Oberverwaltungsgericht,OVGNI
Niedersachsen,Oberverwaltungsgericht Lüneburg,OVGNI
Niedersachsen,Oberlandesgericht Braunschweig,OLGBS
Niedersachsen,Oberlandesgericht Celle,OLGCE
Niedersachsen,Oberlandesgericht Oldenburg,OLGOL
Niedersachsen,Oberlandesgericht Oldenburg (Oldenburg),OLGOL
Niedersachsen,Sozialgericht Aurich,SGAURIC
Niedersachsen,Sozialgericht Braunschweig,SGBRAUN
Niedersachsen,Sozialgericht Hannover,SGHANNO
Niedersachsen,Sozialgericht Hildesheim,SGHILDE
Niedersachsen,Sozialgericht Lüneburg,SGLUENE
Niedersachsen,Sozialgericht Oldenburg (Oldenburg),SGOLDBG
Niedersachsen,Sozialgericht Osnabrück,SGOSNAB
Niedersachsen,Sozialgericht Stade,SGSTADE
Niedersachsen,Vergabekammer Niedersachsen,VKNI
Niedersachsen,Verwaltungsgericht Braunschweig,VGBRAUN
Niedersachsen,Verwaltungsgericht Göttingen,VGGOETT
Niedersachsen,Verwaltungsgericht Hannover,VGHANNO
Niedersachsen,Verwaltungsgericht Lüneburg,VGLUENE
Niedersachsen,Verwaltungsgericht Oldenburg (Oldenburg),VGOLDBG
Niedersachsen,Verwaltungsgericht Osnabrück,VGOSNAB
Niedersachsen,Verwaltungsgericht Stade,VGSTADE
Nordrhein-Westfalen,Amtsgericht Aachen,AGAC1
Nordrhein-Westfalen,Amtsgericht Ahaus,AGAH
Nordrhein-Westfalen,Amtsgericht Ahlen,AGWAF2
Nordrhein-Westfalen,Amtsgericht Altena,AGAL
Nordrhein-Westfalen,Amtsgericht Arnsberg,AGAR
Nordrhein-Westfalen,Amtsgericht Bad Berleburg,AGBLB
Nordrhein-Westfalen,Amtsgericht Bad Oeynhausen,AGMI2
Nordrhein-Westfalen,Amtsgericht Beckum,AGBE
Nordrhein-Westfalen,Amtsgericht Bergheim,AGBM1
Nordrhein-Westfalen,Amtsgericht Bergisch Gladbach,AGGL1
Nordrhein-Westfalen,Amtsgericht Bielefeld,AGBI
Nordrhein-Westfalen,Amtsgericht Blomberg,AGLIP
Nordrhein-Westfalen,Amtsgericht Bocholt,AGBOH
Nordrhein-Westfalen,Amtsgericht Bochum,AGBO
Nordrhein-Westfalen,Amtsgericht Bonn,AGBN
Nordrhein-Westfalen,Amtsgericht Borken,AGBOR1
Nordrhein-Westfalen,Amtsgericht Bottrop,AGBOT
Nordrhein-Westfalen,Amtsgericht Brakel,AGHX2
Nordrhein-Westfalen,Amtsgericht Brilon,AGBRI
Nordrhein-Westfalen,Amtsgericht Brühl,AGBM2
Nordrhein-Westfalen,Amtsgericht Bünde,AGHF2
Nordrhein-Westfalen,Amtsgericht Castrop-Rauxel,AGCAS
Nordrhein-Westfalen,Amtsgericht Coesfeld,AGCOE1
Nordrhein-Westfalen,Amtsgericht Delbrück,AGPB2
Nordrhein-Westfalen,Amtsgericht Detmold,AGDT
Nordrhein-Westfalen,Amtsgericht Dinslaken,AGDIN
Nordrhein-Westfalen,Amtsgericht Dorsten,AGRE2
Nordrhein-Westfalen,Amtsgericht Dortmund,AGDO
Nordrhein-Westfalen,Amtsgericht Duisburg,AGDU1
Nordrhein-Westfalen,Amtsgericht Duisburg-Hamborn,AGDU2
Nordrhein-Westfalen,Amtsgericht Duisburg-Ruhrort,AGDU3
Nordrhein-Westfalen,Amtsgericht Dülmen,AGCOE2
Nordrhein-Westfalen,Amtsgericht Düren,AGDN
Nordrhein-Westfalen,Amtsgericht Düsseldorf,AGD
Nordrhein-Westfalen,Amtsgericht Emmerich am Rhein,AGKLE2
Nordrhein-Westfalen,Amtsgericht Erkelenz,AGERK
Nordrhein-Westfalen,Amtsgericht Eschweiler,AGAC2
Nordrhein-Westfalen,Amtsgericht Essen,AGE1
Nordrhein-Westfalen,Amtsgericht Essen-Borbeck,AGE2
Nordrhein-Westfalen,Amtsgericht Essen-Steele,AGE3
Nordrhein-Westfalen,Amtsgericht Euskirchen,AGEU
Nordrhein-Westfalen,Amtsgericht Geilenkirchen,AGGK
Nordrhein-Westfalen,Amtsgericht Geldern,AGGEL
Nordrhein-Westfalen,Amtsgericht Gelsenkirchen,AGGE1
Nordrhein-Westfalen,Amtsgericht Gelsenkirchen-Buer,AGGE2
Nordrhein-Westfalen,Amtsgericht Gladbeck,AGGLA
Nordrhein-Westfalen,Amtsgericht Grevenbroich,AGGV
Nordrhein-Westfalen,Amtsgericht Gronau,AGBOR2
Nordrhein-Westfalen,Amtsgericht Gummersbach,AGGM1
Nordrhein-Westfalen,Amtsgericht Gütersloh,AGGT
Nordrhein-Westfalen,Amtsgericht Hagen,AGHA
Nordrhein-Westfalen,Amtsgericht Halle / Westfalen,AGHW
Nordrhein-Westfalen,Amtsgericht Halle,AGHW
Nordrhein-Westfalen,Amtsgericht Hamm,AGHAM
Nordrhein-Westfalen,Amtsgericht Hattingen,AGEN2
Nordrhein-Westfalen,Amtsgericht Heinsberg,AGHS
Nordrhein-Westfalen,Amtsgericht Herford,AGHF1
Nordrhein-Westfalen,Amtsgericht Herne,AGHER1
Nordrhein-Westfalen,Amtsgericht Herne-Wanne,AGHER2
Nordrhein-Westfalen,Amtsgericht Höxter,AGHX1
Nordrhein-Westfalen,Amtsgericht Ibbenbüren,AGST2
Nordrhein-Westfalen,Amtsgericht Iserlohn,AGIS
Nordrhein-Westfalen,Amtsgericht Jülich,AGJUEL
Nordrhein-Westfalen,Amtsgericht Kamen,AGUN2
Nordrhein-Westfalen,Amtsgericht Kempen,AGKK1
Nordrhein-Westfalen,Amtsgericht Kerpen,AGBM3
Nordrhein-Westfalen,Amtsgericht Kleve,AGKLE1
Nordrhein-Westfalen,Amtsgericht Köln,AGK
Nordrhein-Westfalen,Amtsgericht Königswinter,AGSU2
Nordrhein-Westfalen,Amtsgericht Krefeld,AGKR
Nordrhein-Westfalen,Amtsgericht Langenfeld,AGME2
Nordrhein-Westfalen,Amtsgericht Lemgo,AGLE
Nordrhein-Westfalen,Amtsgericht Lennestadt,AGOE2
Nordrhein-Westfalen,Amtsgericht Leverkusen,AGLEV
Nordrhein-Westfalen,Amtsgericht Lippstadt,AGLP
Nordrhein-Westfalen,Amtsgericht Lübbecke,AGLK
Nordrhein-Westfalen,Amtsgericht Lüdenscheid,AGLUED
Nordrhein-Westfalen,Amtsgericht Lüdinghausen,AGLH
Nordrhein-Westfalen,Amtsgericht Lünen,AGLUEN
Nordrhein-Westfalen,Amtsgericht Marl,AGRE3
Nordrhein-Westfalen,Amtsgericht Marsberg,AGHSK1
Nordrhein-Westfalen,Amtsgericht Medebach,AGHSK2
Nordrhein-Westfalen,Amtsgericht Meinerzhagen,AGMK1
Nordrhein-Westfalen,Amtsgericht Menden,AGMK2
Nordrhein-Westfalen,Amtsgericht Meschede,AGMES
Nordrhein-Westfalen,Amtsgericht Mettmann,AGME1
Nordrhein-Westfalen,Amtsgericht Minden,AGMI1
Nordrhein-Westfalen,Amtsgericht Moers,AGMO
Nordrhein-Westfalen,Amtsgericht Mönchengladbach,AGMG1
Nordrhein-Westfalen,Amtsgericht Mönchengladbach-Rheydt,AGMG2
Nordrhein-Westfalen,Amtsgericht Monschau,AGMON
Nordrhein-Westfalen,Amtsgericht Mülheim an der Ruhr,AGMH
Nordrhein-Westfalen,Amtsgericht Münster,AGMS
Nordrhein-Westfalen,Amtsgericht Nettetal,AGKK2
Nordrhein-Westfalen,Amtsgericht Neuss,AGNE
Nordrhein-Westfalen,Amtsgericht Oberhausen,AGOB
Nordrhein-Westfalen,Amtsgericht Olpe,AGOE1
Nordrhein-Westfalen,Amtsgericht Paderborn,AGPB1
Nordrhein-Westfalen,Amtsgericht Plettenberg,AGMK3
Nordrhein-Westfalen,Amtsgericht Rahden,AGMI3
Nordrhein-Westfalen,Amtsgericht Ratingen,AGME3
Nordrhein-Westfalen,Amtsgericht Recklinghausen,AGRE1
Nordrhein-Westfalen,Amtsgericht Remscheid,AGRS
Nordrhein-Westfalen,Amtsgericht Rheda-Wiedenbrück,AGWD
Nordrhein-Westfalen,Amtsgericht Rheinbach,AGSU3
Nordrhein-Westfalen,Amtsgericht Rheinberg,AGWES2
Nordrhein-Westfalen,Amtsgericht Rheine,AGST3
Nordrhein-Westfalen,Amtsgericht Schleiden,AGSLE
Nordrhein-Westfalen,Amtsgericht Schmallenberg,AGHSK3
Nordrhein-Westfalen,Amtsgericht Schwelm,AGEN1
Nordrhein-Westfalen,Amtsgericht Schwerte,AGUN3
Nordrhein-Westfalen,Amtsgericht Siegburg,AGSU1
Nordrhein-Westfalen,Amtsgericht Siegen,AGSI
Nordrhein-Westfalen,Amtsgericht Soest,AGSO1
Nordrhein-Westfalen,Amtsgericht Solingen,AGSG
Nordrhein-Westfalen,Amtsgericht Steinfurt,AGST1
Nordrhein-Westfalen,Amtsgericht Tecklenburg,AGTE
Nordrhein-Westfalen,Amtsgericht Unna,AGUN1
Nordrhein-Westfalen,Amtsgericht Velbert,AGME4
Nordrhein-Westfalen,Amtsgericht Viersen,AGVIE
Nordrhein-Westfalen,Amtsgericht Waldbröl,AGGM2
Nordrhein-Westfalen,Amtsgericht Warburg,AGWAR
Nordrhein-Westfalen,Amtsgericht Warendorf,AGWAF1
Nordrhein-Westfalen,Amtsgericht Warstein,AGSO2
Nordrhein-Westfalen,Amtsgericht Werl,AGSO3
Nordrhein-Westfalen,Amtsgericht Wermelskirchen,AGGL2
Nordrhein-Westfalen,Amtsgericht Wesel,AGWES1
Nordrhein-Westfalen,Amtsgericht Wetter,AGEN3
Nordrhein-Westfalen,Amtsgericht Wipperfürth,AGGM3
Nordrhein-Westfalen,Amtsgericht Witten,AGWIT
Nordrhein-Westfalen,Amtsgericht Wuppertal,AGW
Nordrhein-Westfalen,Anwaltsgericht Kammerbezirk Düsseldorf,AWGD
Nordrhein-Westfalen,Anwaltsgericht Düsseldorf,AWGD
Nordrhein-Westfalen,Anwaltsgericht Kammerbezirk Hamm,AWGHAM
Nordrhein-Westfalen,Anwaltsgericht Hamm,AWGHAM
Nordrhein-Westfalen,Anwaltsgerichtshof Hamm,AWGHAM
Nordrhein-Westfalen,Anwaltsgericht Kammerbezirk Köln,AWGK
Nordrhein-Westfalen,Anwaltsgericht Köln,AWGK
Nordrhein-Westfalen,Anwaltsgerichtshof,AWGHNRW
Nordrhein-Westfalen,Anwaltsgerichtshof NRW,AWGHNRW
Nordrhein-Westfalen,Arbeitsgericht Aachen,ARBGAC
Nordrhein-Westfalen,Arbeitsgericht Arnsberg,ARBGAR
Nordrhein-Westfalen,Arbeitsgericht Bielefeld,ARBGBI
Nordrhein-Westfalen,Arbeitsgericht Bocholt,ARBGBOH
Nordrhein-Westfalen,Arbeitsgericht Bochum,ARBGBO
Nordrhein-Westfalen,Arbeitsgericht Bonn,ARBGBN
Nordrhein-Westfalen,Arbeitsgericht Detmold,ARBGDT
Nordrhein-Westfalen,Arbeitsgericht Dortmund,ARBGDO
Nordrhein-Westfalen,Arbeitsgericht Duisburg,ARBGDU
Nordrhein-Westfalen,Arbeitsgericht Düsseldorf,ARBGD
Nordrhein-Westfalen,Arbeitsgericht Essen,ARBGE
Nordrhein-Westfalen,Landesarbeitsgericht Essen,ARBGE
Nordrhein-Westfalen,Arbeitsgericht Gelsenkirchen,ARBGGE
Nordrhein-Westfalen,Arbeitsgericht Hagen,ARBGHA
Nordrhein-Westfalen,Arbeitsgericht Hamm,ARBGHAM
Nordrhein-Westfalen,Arbeitsgericht Herford,ARBGHF
Nordrhein-Westfalen,Arbeitsgericht Herne,ARBGHER
Nordrhein-Westfalen,Arbeitsgericht Iserlohn,ARBGIS
Nordrhein-Westfalen,Arbeitsgericht Köln,ARBGK
Nordrhein-Westfalen,Arbeitsgericht Krefeld,ARBGKR
Nordrhein-Westfalen,Arbeitsgericht Minden,ARBGMI
Nordrhein-Westfalen,Arbeitsgericht Mönchengladbach,ARBGMG
Nordrhein-Westfalen,Arbeitsgericht Münster,ARBGMS
Nordrhein-Westfalen,Arbeitsgericht Oberhausen,ARBGOB
Nordrhein-Westfalen,Arbeitsgericht Paderborn,ARBGPB
Nordrhein-Westfalen,Arbeitsgericht Rheine,ARBGST
Nordrhein-Westfalen,Arbeitsgericht Siegburg,ARBGSU
Nordrhein-Westfalen,Arbeitsgericht Siegen,ARBGSI
Nordrhein-Westfalen,Arbeitsgericht Solingen,ARBGSG
Nordrhein-Westfalen,Arbeitsgericht Wesel,ARBGWES
Nordrhein-Westfalen,Arbeitsgericht Wuppertal,ARBGW
Nordrhein-Westfalen,"Berufsgericht für Architekten, Architektinnen, Stadtplaner und Stadtplanerinnen",BGANRW
Nordrhein-Westfalen,"Berufsgericht für Architekten, Architektinnen, Stadtplaner und Stadtplanerinnen NRW",BGANRW
Nordrhein-Westfalen,Berufsgericht für Beratende Ingenieure und Ingenieurinnen sowie Ingenieure und Ingenieurinnen im Bauwesen,BGINRW
Nordrhein-Westfalen,Berufsgericht für Beratende Ingenieure und Ingenieurinnen sowie Ingenieure und Ingenieurinnen im Bauwesen NRW,BGINRW
Nordrhein-Westfalen,Berufsgericht für Heilberufe Köln,BGHK
Nordrhein-Westfalen,Berufsgericht für Heilberufe Münster,BGHMS
Nordrhein-Westfalen,Dienstgericht für Richter,DGNRW
Nordrhein-Westfalen,Dienstgericht NRW,DGNRW
Nordrhein-Westfalen,Dienstgerichtshof für Richter,DGHNRW
Nordrhein-Westfalen,Dienstgerichtshof NRW,DGHNRW
Nordrhein-Westfalen,Finanzgericht Düsseldorf,FGD
Nordrhein-Westfalen,Finanzgericht Köln,FGK
Nordrhein-Westfalen,Finanzgericht Münster,FGMS
Nordrhein-Westfalen,Landesarbeitsgericht Düsseldorf,LAGD
Nordrhein-Westfalen,Landesarbeitsgericht Hamm,LAGHAM
Nordrhein-Westfalen,Landesarbeitsgericht Köln,LAGK
Nordrhein-Westfalen,"Landesberufsgericht für Architekten, Architektinnen, Stadtplaner und Stadtplanerinnen",LBGANRW
Nordrhein-Westfalen,"Landesberufsgericht für Architekten, Architektinnen, Stadtplaner und Stadtplanerinnen NRW",LBGANRW
Nordrhein-Westfalen,Landesberufsgericht für Beratende Ingenieure und Ingenieurinnen sowie Ingenieure und Ingenieurinnen im Bauwesen,LBGINRW
Nordrhein-Westfalen,Landesberufsgericht für Beratende Ingenieure und Ingenieurinnen sowie Ingenieure und Ingenieurinnen im Bauwesen NRW,LBGINRW
Nordrhein-Westfalen,Landesberufsgericht für Heilberufe,LBGHNRW
Nordrhein-Westfalen,Landesberufsgericht für Heilberufe NRW,LBGHNRW
Nordrhein-Westfalen,Berufsgericht für Heilberufe NRW,LBGHNRW
Nordrhein-Westfalen,Landessozialgericht,LSGNRW
Nordrhein-Westfalen,Landessozialgericht NRW,LSGNRW
Nordrhein-Westfalen,Landgericht Aachen,LGAC
Nordrhein-Westfalen,Landgericht Arnsberg,LGAR
Nordrhein-Westfalen,Landgericht Bielefeld,LGBI
Nordrhein-Westfalen,Landgericht Bochum,LGBO
Nordrhein-Westfalen,Landgericht Bonn,LGBN
Nordrhein-Westfalen,Landgericht Detmold,LGDT
Nordrhein-Westfalen,Landgericht Dortmund,LGDO
Nordrhein-Westfalen,Landgericht Duisburg,LGDU
Nordrhein-Westfalen,Landgericht Düsseldorf,LGD
Nordrhein-Westfalen,Landgericht Essen,LGE
Nordrhein-Westfalen,Landgericht Hagen,LGHA
Nordrhein-Westfalen,Landgericht Kleve,LGKLE
Nordrhein-Westfalen,Landgericht Köln,LGK
Nordrhein-Westfalen,Landgericht Krefeld,LGKR
Nordrhein-Westfalen,Landgericht Mönchengladbach,LGMG
Nordrhein-Westfalen,Landgericht Münster,LGMS
Nordrhein-Westfalen,Landgericht Paderborn,LGPB
Nordrhein-Westfalen,Landgericht Siegen,LGSI
Nordrhein-Westfalen,Landgericht Wuppertal,LGW
Nordrhein-Westfalen,Moselschifffahrtsobergericht Köln,MSCHOGK
Nordrhein-Westfalen,Oberlandesgericht Düsseldorf,OLGD
Nordrhein-Westfalen,Oberlandesgericht Hamm,OLGHAM
Nordrhein-Westfalen,Oberlandesgericht Köln,OLGK
Nordrhein-Westfalen,Oberverwaltungsgericht,OVGNRW
Nordrhein-Westfalen,Oberverwaltungsgericht NRW,OVGNRW
Nordrhein-Westfalen,Oberverwaltungsgericht Nordrhein-Westfalen,OVGNRW
Nordrhein-Westfalen,Rheinschifffahrtsgericht Duisburg-Ruhrort,RSCHGDU
Nordrhein-Westfalen,Rheinschifffahrtsobergericht Köln,RSCHOGK
Nordrhein-Westfalen,Schifffahrtsgericht Dortmund,SCHGDO
Nordrhein-Westfalen,Schifffahrtsgericht Duisburg-Ruhrort,SCHGDU
Nordrhein-Westfalen,Schifffahrtsgericht Minden,SCHGMI
Nordrhein-Westfalen,Schifffahrtsobergericht Hamm,SCHOGHA
Nordrhein-Westfalen,Schifffahrtsobergericht Köln,SCHOGK
Nordrhein-Westfalen,Sozialgericht Aachen,SGAC
Nordrhein-Westfalen,Sozialgericht Detmold,SGDT
Nordrhein-Westfalen,Sozialgericht Dortmund,SGDO
Nordrhein-Westfalen,Sozialgericht Duisburg,SGDU
Nordrhein-Westfalen,Sozialgericht Düsseldorf,SGD
Nordrhein-Westfalen,Sozialgericht Gelsenkirchen,SGGE
Nordrhein-Westfalen,Sozialgericht Köln,SGK
Nordrhein-Westfalen,Sozialgericht Münster,SGMS
Nordrhein-Westfalen,Verfassungsgerichtshof,VFGHNRW
Nordrhein-Westfalen,Verfassungsgerichtshof NRW,VFGHNRW
Nordrhein-Westfalen,Vergabekammer Rheinland Spruchkörper Düsseldorf,VKD
Nordrhein-Westfalen,Vergabekammer Rheinland Spruchkörper Köln,VKK
Nordrhein-Westfalen,Vergabekammer Westfalen,VKMS
Nordrhein-Westfalen,Verwaltungsgericht Aachen,VGAC
Nordrhein-Westfalen,Verwaltungsgericht Arnsberg,VGAR
